MC                                                          #NAME                                                                                      #DW                                                          #P2_BY   #P2_BYLJ #P2_QN   #P2_QNLJ #CODE   #XT_DZDM#
    浙江省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#330000#
    安徽省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#340000#
    福建省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#350000#
    江西省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#360000#
    山东省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#370000#
    河南省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#410000#
    湖北省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#420000#
    湖南省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#430000#
    广东省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#440000#
    广西壮族自治区                                          #大米                                                                                      #吨                                                          #null#null#null#null#1310030#450000#
    海南省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#460000#
    重庆市                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#500000#
    四川省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#510000#
    贵州省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#520000#
    云南省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#530000#
    陕西省                                                  #大米                                                                                      #吨                                                          #null#null#null#null#1310030#610000#
    宁夏回族自治区                                          #大米                                                                                      #吨                                                          #null#null#null#null#1310030#640000#
    新疆维吾尔自治区                                        #大米                                                                                      #吨                                                          #null#null#null#null#1310030#650000#
总计                                                        #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#000000#
北京市                                                      #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#110000#
    天津市                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#120000#
    河北省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#130000#
    山西省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#140000#
    内蒙古自治区                                            #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#150000#
    辽宁省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#210000#
    吉林省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#220000#
    黑龙江省                                                #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#230000#
    上海市                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#310000#
    江苏省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#320000#
    浙江省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#330000#
    安徽省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#340000#
    福建省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#350000#
    江西省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#360000#
    山东省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#370000#
    河南省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#410000#
    湖北省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#420000#
    湖南省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#430000#
    广东省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#440000#
    广西壮族自治区                                          #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#450000#
    海南省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#460000#
    重庆市                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#500000#
    四川省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#510000#
    贵州省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#520000#
    云南省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#530000#
    西藏自治区                                              #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#540000#
    陕西省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#610000#
    甘肃省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#620000#
    青海省                                                  #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#630000#
    宁夏回族自治区                                          #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#640000#
    新疆维吾尔自治区                                        #饲料                                                                                      #吨                                                          #null#null#null#null#1320010#650000#
总计                                                        #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#000000#
北京市                                                      #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#110000#
    天津市                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#120000#
    河北省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#130000#
    山西省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#140000#
    内蒙古自治区                                            #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#150000#
    辽宁省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#210000#
    吉林省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#220000#
    黑龙江省                                                #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#230000#
    上海市                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#310000#
    江苏省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#320000#
    浙江省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#330000#
    安徽省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#340000#
    福建省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#350000#
    江西省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#360000#
    山东省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#370000#
    河南省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#410000#
    湖北省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#420000#
    湖南省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#430000#
    广东省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#440000#
    广西壮族自治区                                          #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#450000#
